DETAILS_0	ёжн ÷ѕ «бг« нд
DETAILS_1	ёжн ÷ѕ д’Ё «б»‘—
DETAILS_10	ёжн ÷ѕ жЌж‘ «б’Ќ—«Ѕ
DETAILS_11	ёжн ÷ѕ «бЌ‘—« 
DETAILS_12	ёнг… «бећжг
DETAILS_13	ёнг… «бѕЁ«Џ
DETAILS_14	гЏѕб «б÷——
DETAILS_15	гё«жг… гЏѕб «б÷——
DETAILS_16	√÷—«— «бге«—…
DETAILS_17	гё«жг… «бге«—….
DETAILS_18	ећжг ”Ќ—н/ћ”ѕн
DETAILS_19	ећжг ”Ќ—н
DETAILS_2	гё«жг… д’Ё «б»‘—
DETAILS_20	Ё—’… «б÷—»… «бЌ—ћ…
DETAILS_21	÷—»… ќ«—ё…
DETAILS_22	г. «б÷—»«  «бЌ—ћ…
DETAILS_23	г. «б÷—»«  «бќ«—ё…
DETAILS_24	гё«жг… «б»—ё
DETAILS_25	гё«жг… «бЋбћ
DETAILS_26	гё«жг… «бўб«г
DETAILS_27	гё«жг… «бд«—
DETAILS_28	гё«жг… «б—н«Ќ
DETAILS_29	гё«жг… «б√—÷
DETAILS_3	ёжн ÷ѕ «бџнб«д
DETAILS_30	ёж… «б»—ё
DETAILS_31	ёж… «бћбнѕ
DETAILS_32	ёж… «бўб«г
DETAILS_33	ёж… «бд«—
DETAILS_34	ёж… «б—н«Ќ
DETAILS_35	ёж… «б√—÷
DETAILS_36	ёжн ÷ѕ «бгЌ«—»
DETAILS_37	ёжн ÷ѕ «бдндћ«
DETAILS_38	ёжн ÷ѕ «б”ж—«
DETAILS_39	ёжн ÷ѕ «б‘«г«д
DETAILS_4	ёжн ÷ѕ «б“жг»н
DETAILS_40	ёжн ÷ѕ «ббня«д—
DETAILS_41	ѕЁ«Џ ÷ѕ «бгЌ«—»
DETAILS_42	ѕЁ«Џ ÷ѕ «бдндћ«
DETAILS_43	ѕЁ«Џ ÷ѕ «б”ж—«
DETAILS_44	ѕЁ«Џ ÷ѕ «б‘«г«д
DETAILS_45	ѕЁ«Џ ÷ѕ «ббня«д—
DETAILS_46	«бѕЁ«Џ «б”нЁн
DETAILS_47	ѕЁ«Џ ”нЁ «бнѕнд
DETAILS_48	ѕЁ«Џ ќдћ—н
DETAILS_49	ѕЁ«Џ гќб»н
DETAILS_5	ёжн ÷ѕ «бжЌж‘
DETAILS_50	ѕЁ«Џ ћ—”н
DETAILS_51	ѕЁ«Џ г—жЌн
DETAILS_52	гё«жг… «б”ег
DETAILS_53	Ёх—’ «б≈џг«Ѕ
DETAILS_54	Ё—’ «б »ЎнЅ
DETAILS_55	Ё—’… «б ”гг
DETAILS_56	гё«жг… «б”гжг
DETAILS_57	ећжг гхд“Ё
DETAILS_58	г. «бећжг «бгхд“Ё
DETAILS_59	”—ё… дё«Ў «бЌн«…
DETAILS_6	ёжн ÷ѕ жЌж‘ “жѕн«я
DETAILS_60	”—ё… дё«Ў «б√”бж»
DETAILS_61	≈” Џ«ѕ… дё«Ў «бЌн«…
DETAILS_62	≈” Џ«ѕ… дё«Ў «б√”бж»
DETAILS_63	’ѕ «бећжг «бћ”ѕн
DETAILS_64	 Ё«ѕн «бећжг «б”егн
DETAILS_65	Џя” «бећжг «бћ”ѕн
DETAILS_66	≈.д.Ќ Џдѕ «бё б
DETAILS_67	≈.д.√ Џдѕ «бё б
DETAILS_68	г÷«ЏЁ… «бќ»—… EXP
DETAILS_69	г÷«ЏЁ… «бн«дџ
DETAILS_7	ёжн ÷ѕ «бЌнж«д« 
DETAILS_70	Ё—’… «б≈”ё«Ў
DETAILS_71	ёнг… «бећжг
DETAILS_72	ѕЁ«Џ
DETAILS_73	ќ»—… EXP
DETAILS_74	Ё—’… «б≈”ё«Ў
DETAILS_75	г÷«ЏЁ… «бн«дџ
DETAILS_76	гё«жг… «б”Ќ—
DETAILS_77	я”— «б”шЌ—
DETAILS_8	ё.÷. «бЎ«∆Ё… «б”—н…
DETAILS_9	ёжн ÷ѕ «б‘нЎ«д
DETAILS_ATTBONUS_BELL	я”— «бћ—”
DETAILS_ATTBONUS_BOW	я”— «б”ег
DETAILS_ATTBONUS_CLAW	я”— «бгќб»
DETAILS_ATTBONUS_DAGGER	я”— «бќдћ—
DETAILS_ATTBONUS_FAN	я”— «бг—жЌ…
