DETAILS_0	Síla proti Metinu
DETAILS_1	Síla proti pololidem
DETAILS_10	Síla vs pouš. pøíš.
DETAILS_11	Síla proti broukùm
DETAILS_12	Hodnota útoku
DETAILS_13	Hodnota obrany
DETAILS_14	Prùmìrné poškození
DETAILS_15	Prùm. odol. pošk.
DETAILS_16	Poškození schopností
DETAILS_17	Odolnost proti poš. schop.
DETAILS_18	Útok magií/zbraní
DETAILS_19	Magický útok
DETAILS_2	Odol.proti pololidem
DETAILS_20	Šance na krit. zásah
DETAILS_21	Pronikavý zásah
DETAILS_22	Odol. pr. krit. zás.
DETAILS_23	Odol. pr. pron. zás.
DETAILS_24	Odol. proti blesku
DETAILS_25	Odol. proti ledu
DETAILS_26	Odol. proti temnotì
DETAILS_27	Odolnost proti ohni
DETAILS_28	Odolnost proti vìtru
DETAILS_29	Odolnost proti Zemi
DETAILS_3	Síla proti Orkùm
DETAILS_30	Síla blesku
DETAILS_31	Síla ledu
DETAILS_32	Síla temnoty
DETAILS_33	Síla ohnì
DETAILS_34	Síla vìtru
DETAILS_35	Síla Zemì
DETAILS_36	Síla proti váleè.
DETAILS_37	Síla proti ninjùm
DETAILS_38	Síla proti Surùm
DETAILS_39	Síla proti šamanùm
DETAILS_4	Síla proti nemrtvým
DETAILS_40	Síla proti Lycanùm
DETAILS_41	Obrana proti váleè.
DETAILS_42	Obrana proti ninjùm
DETAILS_43	Obrana proti Surùm
DETAILS_44	Obrana proti šamanùm
DETAILS_45	Obrana proti Lycanùm
DETAILS_46	Obrana proti meèùm
DETAILS_47	Obrana pr. ob. meèùm
DETAILS_48	Obrana proti dýkám
DETAILS_49	Obrana proti drápùm
DETAILS_5	Síla proti monstrùm
DETAILS_50	Obrana proti zvonùm
DETAILS_51	Obrana proti vìjíøùm
DETAILS_52	Obrana proti šípùm
DETAILS_53	Šance na bezvìdomí
DETAILS_54	Šance na zpomalení
DETAILS_55	Šance na otrávení
DETAILS_56	Odolnost vùèi jedu
DETAILS_57	Krvácivý útok
DETAILS_58	Odol. pr. krv. útoku
DETAILS_59	Kradení ZB
DETAILS_6	Síla pr. pø. Zvìro.
DETAILS_60	Kradení MB
DETAILS_61	Obnova ZB
DETAILS_62	Obnova MB
DETAILS_63	Blokování útoku
DETAILS_64	Vyhnutí útoku šípy
DETAILS_65	Odražení út. zbraní
DETAILS_66	Obnova ZB pøi zabití
DETAILS_67	Obnova MB pøi zabití
DETAILS_68	Dvojité BZK
DETAILS_69	Dvojité Yangy
DETAILS_7	Síla proti zvíøatùm
DETAILS_70	Šance na pad. pøedm.
DETAILS_71	Hodnota útoku
DETAILS_72	Hodnota obrany
DETAILS_73	BZK
DETAILS_74	Šance na pad. pøedm.
DETAILS_75	Dvojité Yangy
DETAILS_76	Odolnost proti magii
DETAILS_77	Odolnost proti magii
DETAILS_8	Síla proti esoter.
DETAILS_9	Síla proti ïáblu
DETAILS_ATTBONUS_BELL	Proražení zvonu
DETAILS_ATTBONUS_BOW	Proražení šípu
DETAILS_ATTBONUS_CLAW	Proražení drápù
DETAILS_ATTBONUS_DAGGER	Proražení dýky
DETAILS_ATTBONUS_FAN	Proražení vìjíøe
DETAILS_ATTBONUS_SWORD	Proražení meèe
DETAILS_ATTBONUS_TWOHAND	Proražení obouruèního meèe
DETAILS_CATE_1	Poškození/Obrana
DETAILS_CATE_2	Bonus elementálu
DETAILS_CATE_3	Bonus tøídy
DETAILS_CATE_4	Bonus zbranì
DETAILS_CATE_5	Jiný bonus
DETAILS_CATE_6	Speciální bonus
DETAILS_HIT_PCT	Pøesnost
DETAILS_RESIST_MOUNT_FALL	Odolnost proti pádu
DETAILS_TITLE	Detaily
DETAILS_TOOLTIP_0	Síla proti kamenùm Metin: dává vìtší poškození kamenlm Metin.
DETAILS_TOOLTIP_1	Silný proti pololidem: dává vìtší poškození pololidem.
DETAILS_TOOLTIP_10	Síla proti pouštním pøíšerám: dává vìtší poškození pouštním pøíšerám.
DETAILS_TOOLTIP_11	Díla proti broukùm: dává vìtší poškození broukùm.
DETAILS_TOOLTIP_12	Zvýší tvou hodnotu útoku.
DETAILS_TOOLTIP_13	Zvýší tvou hodnotu obrany.
DETAILS_TOOLTIP_14	Zvyšuje prùmìrné poškození, které pøi útoku zpùsobíš protivníkovi.
DETAILS_TOOLTIP_15	Odolnost proti prùmìrnému poškození: snižuje poškození, které utržíš bìhem útoku.
DETAILS_TOOLTIP_16	Zvyšuje poškození zpùsobené schopností.
DETAILS_TOOLTIP_17	Zvyšuje poškození zpùsobené schopností.
DETAILS_TOOLTIP_18	Zvyšuje hodnotu fyzického i magického útoku.
