DETAILS_0	Stærk imod Metin
DETAILS_1	Stæ. vs Halv Mennes.
DETAILS_10	Stæ. vs Ørken Monst.
DETAILS_11	Stæ. vs Insekter
DETAILS_12	Angrebsværdi
DETAILS_13	Forsvarsværdi
DETAILS_14	Gennemsnitlig Skade
DETAILS_15	Gennemsni. Skd. Mod.
DETAILS_16	Færdigheds Skade
DETAILS_17	Færdigheds Skade Modstand
DETAILS_18	Magi/Nærkamps Angreb
DETAILS_19	Magisk Angreb
DETAILS_2	Mod. im. Halv Menne.
DETAILS_20	Kritisk Slag Chance
DETAILS_21	Gennemborende Træf
DETAILS_22	Kritisk Slag Mods.
DETAILS_23	Gennembo. Træf Mods.
DETAILS_24	Lynmodstand
DETAILS_25	Is Modstand
DETAILS_26	Mørke Modstand
DETAILS_27	Ild Modstand
DETAILS_28	Luft Modstand
DETAILS_29	Jord Modstand
DETAILS_3	Stærk imod Orker
DETAILS_30	Lynets Kraft
DETAILS_31	Isens Kraft
DETAILS_32	Mørkets Kraft
DETAILS_33	Ildens Kraft
DETAILS_34	Vindens Kraft
DETAILS_35	Jordens Kraft
DETAILS_36	Stærk imod Krigere
DETAILS_37	Stærk imod Ninjaer
DETAILS_38	Stærk imod Suraer
DETAILS_39	Stærk imod Shamaner
DETAILS_4	Stærk imod Udøde
DETAILS_40	Stærk imod Lycaner
DETAILS_41	Forsvar vs Krigere
DETAILS_42	Forsvar vs Ninjaer
DETAILS_43	Forsvar vs Suraer
DETAILS_44	Forsvar vs Shamaner
DETAILS_45	Forsvar vs Lycaner
DETAILS_46	Sværd Forsvar
DETAILS_47	To-hånds Forsvar
DETAILS_48	Dolk Forsvar
DETAILS_49	Klo Forsvar
DETAILS_5	Stærk imod Monstre
DETAILS_50	Klokkeforsvar
DETAILS_51	Vifteforsvar
DETAILS_52	Pil Forsvar
DETAILS_53	Besvimelses Chance
DETAILS_54	Sløv Chance
DETAILS_55	Gift Chance
DETAILS_56	Gift Modstand
DETAILS_57	Blødnings Angreb
DETAILS_58	Blødning Angreb Mod.
DETAILS_59	Stjæl HP
DETAILS_6	Stæ. vs Zodiac Mon.
DETAILS_60	Stjæl MP
DETAILS_61	HP Gendannelse
DETAILS_62	MP Gendannelse
DETAILS_63	Bloker Angreb
DETAILS_64	Undgå Pil Angreb
DETAILS_65	Ref. Nærkamps Angreb
DETAILS_66	HP Gendan. på Drab
DETAILS_67	MP Gendan. på Drab
DETAILS_68	Dobbelt EXP
DETAILS_69	Dobbelt Yang
DETAILS_7	Stærk imod Dyr
DETAILS_70	Drop Sandsynlighed
DETAILS_71	Angrebsværdi
DETAILS_72	Forsvarsværdi
DETAILS_73	EXP
DETAILS_74	Drop Sandsynlighed
DETAILS_75	Dobbelt Yang
DETAILS_76	Magi Modstand
DETAILS_77	Anti-Magi
DETAILS_8	Stærk vs Esoterikere
DETAILS_9	Stærk imod Djævle
DETAILS_ATTBONUS_BELL	Klokke brud
DETAILS_ATTBONUS_BOW	Pil brud
DETAILS_ATTBONUS_CLAW	Klo brud
DETAILS_ATTBONUS_DAGGER	Dolk brud
DETAILS_ATTBONUS_FAN	Vifte brud
DETAILS_ATTBONUS_SWORD	Sværd brud
DETAILS_ATTBONUS_TWOHAND	To-hånds brud
DETAILS_CATE_1	Skade/Forsvar
DETAILS_CATE_2	Elementær bonus
DETAILS_CATE_3	Klasse bonus
DETAILS_CATE_4	Våben bonus
DETAILS_CATE_5	Anden bonus
DETAILS_CATE_6	Special bonus
DETAILS_HIT_PCT	Præcision
DETAILS_RESIST_MOUNT_FALL	Falds modstand
DETAILS_TITLE	Detaljer
DETAILS_TOOLTIP_0	Stærk imod Metin-sten: Giver tungere skade imod Metin-sten.
DETAILS_TOOLTIP_1	Stærke imod Halv Mennesker: Giver tungere skade imod Halv Mennesker.
DETAILS_TOOLTIP_10	Stærke imod Ørken Monstre: Giver tungere skade imod ørken monstre.
DETAILS_TOOLTIP_11	Stærke imod Insekter: Giver tungere skade imod insekter.
