DETAILS_0	Metin elleni erõ
DETAILS_1	Félemberek ell. erõ
DETAILS_10	Siv. szörnyek e. erõ
DETAILS_11	Rovarok elleni erõ
DETAILS_12	Támadóérték
DETAILS_13	Védelmi érték
DETAILS_14	Átlagos kár
DETAILS_15	Átlagos kár ell.
DETAILS_16	Készség kár
DETAILS_17	Készség kár ellenállás
DETAILS_18	Mág./közelharci tám.
DETAILS_19	Mágikus támadás
DETAILS_2	Félemberek ell. véd.
DETAILS_20	Krit. találat esélye
DETAILS_21	Átható találat
DETAILS_22	Krit. találat ell.
DETAILS_23	Átható találat ell.
DETAILS_24	Villám ellenállás
DETAILS_25	Jég ellenállás
DETAILS_26	Sötétség ellenállás
DETAILS_27	Tûz ellenállás
DETAILS_28	Szél ellenállás
DETAILS_29	Föld ellenállás
DETAILS_3	Orkok elleni erõ
DETAILS_30	Villám ereje
DETAILS_31	Jég ereje
DETAILS_32	Sötétség ereje
DETAILS_33	Tûz ereje
DETAILS_34	Szél ereje
DETAILS_35	Föld ereje
DETAILS_36	Harcosok elleni erõ
DETAILS_37	Nindzsák elleni erõ
DETAILS_38	Surák elleni erõ
DETAILS_39	Sámánok elleni erõ
DETAILS_4	Élõholtak elleni erõ
DETAILS_40	Vérfarkasok ell. erõ
DETAILS_41	Harcos védelem
DETAILS_42	Nindzsa védelem
DETAILS_43	Sura védelem
DETAILS_44	Sámán védelem
DETAILS_45	Vérfarkas védelem
DETAILS_46	Kard védelem
DETAILS_47	Kétkezes védelem
DETAILS_48	Tõr védelem
DETAILS_49	Karom védelem
DETAILS_5	Szörnyek elleni erõ
DETAILS_50	Harang védelem
DETAILS_51	Legyezõ védelem
DETAILS_52	Nyíl védelem
DETAILS_53	Ájulási esély
DETAILS_54	Lassítás esélye
DETAILS_55	Mérgezés esélye
DETAILS_56	Méreg ellenállás
DETAILS_57	Vérzõ támadás
DETAILS_58	Vérzõ t. ellenállás
DETAILS_59	TP lopás
DETAILS_6	Zod. szörnyek e. erõ
DETAILS_60	MP lopás
DETAILS_61	TP helyreállítás
DETAILS_62	MP helyreállítás
DETAILS_63	Támadás kivédése
DETAILS_64	Nyilak elkerülése
DETAILS_65	Fiz. tám. visszav.
DETAILS_66	TP helyreá. öléskor
DETAILS_67	MP helyreá. öléskor
DETAILS_68	Dupla EXP
DETAILS_69	Dupla Yang
DETAILS_7	Állatok elleni erõ
DETAILS_70	Dobási esély
DETAILS_71	Támadóérték
DETAILS_72	Védelmi érték
DETAILS_73	EXP
DETAILS_74	Dobási esély
DETAILS_75	Dupla Yang
DETAILS_76	Mágia ellenállás
DETAILS_77	Ellenmágia
DETAILS_8	Ezot. elleni erõ
DETAILS_9	Ördögök elleni erõ
DETAILS_ATTBONUS_BELL	Harang v. áttörés
DETAILS_ATTBONUS_BOW	Nyíl v. áttörés
DETAILS_ATTBONUS_CLAW	Karom v. áttörés
DETAILS_ATTBONUS_DAGGER	Tõr v. áttörés
DETAILS_ATTBONUS_FAN	Legyezõ v. áttörés
DETAILS_ATTBONUS_SWORD	Kard v. áttörés
DETAILS_ATTBONUS_TWOHAND	Kétkezes v. áttörés
DETAILS_CATE_1	Sebzés/Védelem
DETAILS_CATE_2	Elementáris bónusz
DETAILS_CATE_3	Karakterosztály bónusz
DETAILS_CATE_4	Fegyver bónusz
DETAILS_CATE_5	Egyéb bónusz
DETAILS_CATE_6	Különleges bónusz
