DETAILS_0	Forte contro Metin
DETAILS_1	Forte vs Mezziuomini
DETAILS_10	Forte vs mostri des.
DETAILS_11	Forte vs insetti
DETAILS_12	Valore d'attacco
DETAILS_13	Valore di difesa
DETAILS_14	Danno medio
DETAILS_15	Res. danno medio
DETAILS_16	Danni abilità
DETAILS_17	Resistenza danni abilità
DETAILS_18	Att. magico/C. a C.
DETAILS_19	Attacco magico
DETAILS_2	Res. Mezzouomo
DETAILS_20	Prob. colpo critico
DETAILS_21	Colpo trafiggente
DETAILS_22	Res. colpo critico
DETAILS_23	Res. colpo trafigg.
DETAILS_24	Resistenza lampo
DETAILS_25	Resistenza ghiaccio
DETAILS_26	Res. oscurità
DETAILS_27	Resistenza fuoco
DETAILS_28	Resistenza vento
DETAILS_29	Resistenza terra
DETAILS_3	Forte vs orchi
DETAILS_30	Forza del fulmine
DETAILS_31	Forza del ghiaccio
DETAILS_32	Forza dell'oscurità
DETAILS_33	Forza del fuoco
DETAILS_34	Forza del vento
DETAILS_35	Forza della terra
DETAILS_36	Forte vs guerrieri
DETAILS_37	Forte vs ninja
DETAILS_38	Forte vs sura
DETAILS_39	Forte vs shamani
DETAILS_4	Forte vs zombie
DETAILS_40	Forte vs lican
DETAILS_41	Difesa dai guerrieri
DETAILS_42	Difesa dai ninja
DETAILS_43	Difesa dai sura
DETAILS_44	Dif. dagli shamani
DETAILS_45	Difesa dai lican
DETAILS_46	Difesa spada
DETAILS_47	Difesa spadone
DETAILS_48	Difesa pugnale
DETAILS_49	Difesa artigli
DETAILS_5	Forte vs mostri
DETAILS_50	Difesa campana
DETAILS_51	Difesa ventaglio
DETAILS_52	Difesa freccia
DETAILS_53	Prob. svenimento
DETAILS_54	Prob. rallentamento
DETAILS_55	Prob. avvelenamento
DETAILS_56	Res. avvelenamento
DETAILS_57	Attacco sanguinante
DETAILS_58	Res. attacco sang.
DETAILS_59	Furto HP
DETAILS_6	Forte vs mostri Zod.
DETAILS_60	Furto MP
DETAILS_61	Ripristino HP
DETAILS_62	Ripristino MP
DETAILS_63	Blocca attacco
DETAILS_64	Schiva frecce
DETAILS_65	Rifless. att. corp.
DETAILS_66	Ripr. HP (uccisione)
DETAILS_67	Ripr. MP (uccisione)
DETAILS_68	EXP doppia
DETAILS_69	Yang doppi
DETAILS_7	Forte vs animali
DETAILS_70	Prob. di drop
DETAILS_71	Valore d'attacco
DETAILS_72	Difesa
DETAILS_73	EXP
DETAILS_74	Prob. di drop
DETAILS_75	Yang doppi
DETAILS_76	Resistenza magia
DETAILS_77	Anti-magia
DETAILS_8	Forte vs esoterici
DETAILS_9	Forte vs diavolo
DETAILS_ATTBONUS_BELL	Rottura della campana
DETAILS_ATTBONUS_BOW	Rottura della freccia
DETAILS_ATTBONUS_CLAW	Rottura dell'artiglio
DETAILS_ATTBONUS_DAGGER	Rottura del pugnale
DETAILS_ATTBONUS_FAN	Rottura del ventaglio
DETAILS_ATTBONUS_SWORD	Rottura della spada
DETAILS_ATTBONUS_TWOHAND	Rottura dello spadone
DETAILS_CATE_1	Danno/Difesa
DETAILS_CATE_2	Bonus elementali
DETAILS_CATE_3	Bonus classe
DETAILS_CATE_4	Bonus armi
DETAILS_CATE_5	Altri bonus
DETAILS_CATE_6	Bonus speciali
DETAILS_HIT_PCT	Precisione
DETAILS_RESIST_MOUNT_FALL	Resistenza alla caduta
DETAILS_TITLE	Dettagli
DETAILS_TOOLTIP_0	Forte contro Rocce Metin: infligge una maggiore quantità di danni alle Rocce Metin.
DETAILS_TOOLTIP_1	Forte contro i Mezziuomini: infligge ingenti danni ai Mezziuomini
DETAILS_TOOLTIP_10	Forte contro i mostri del deserto: infligge una maggiore quantità di danni ai mostri del deserto.
DETAILS_TOOLTIP_11	Forte contro insetti: infligge una maggiore quantità di danni agli insetti.
DETAILS_TOOLTIP_12	Incrementa il tuo valore d'attacco.
DETAILS_TOOLTIP_13	Incrementa il tuo valore di difesa
DETAILS_TOOLTIP_14	Aumenta il danno medio che infliggi agli avversari quando li attacchi.
DETAILS_TOOLTIP_15	Resistenza al danno medio: riduce i danni che subisci in un attacco.
DETAILS_TOOLTIP_16	Aumenta i danni provocati da un'abilità.
DETAILS_TOOLTIP_17	Resistenza ai danni abilità: riduce il danno da abilità che subisci.
DETAILS_TOOLTIP_18	Aumenta il valore d'attacco corporale e magico.
