DETAILS_0	Forte contra Metin
DETAILS_1	Frt. vs Semi-Humanos
DETAILS_10	Frt. vs Mon. Deserto
DETAILS_11	Frt. vs Insectos
DETAILS_12	Valor de Ataque
DETAILS_13	Valor de Defesa
DETAILS_14	Dano Médio
DETAILS_15	Res. a Dano Média
DETAILS_16	Dano de Habilidade
DETAILS_17	Resist. Dano de Habilidade
DETAILS_18	Ataque Mágico/CaC
DETAILS_19	Ataque Mágico
DETAILS_2	Res. a Semi-Humanos
DETAILS_20	Prob. Golpe Crítico
DETAILS_21	Golpe Perfurante
DETAILS_22	Res. a Golpe Crítico
DETAILS_23	Res. a Golpe Perf.
DETAILS_24	Res. a Relâmpagos
DETAILS_25	Res. a Gelo
DETAILS_26	Res. a Trevas
DETAILS_27	Res. a Fogo
DETAILS_28	Res. a Vento
DETAILS_29	Res. a Terra
DETAILS_3	Frt. vs Orcs
DETAILS_30	Poder dos Raios
DETAILS_31	Poder do Gelo
DETAILS_32	Poder das Trevas
DETAILS_33	Poder do Fogo
DETAILS_34	Poder do Vento
DETAILS_35	Poder da Terra
DETAILS_36	Frt. vs Guerreiros
DETAILS_37	Frt. vs Ninjas
DETAILS_38	Frt. vs Suras
DETAILS_39	Frt. vs Xamãs
DETAILS_4	Frt. vs Mortos-Vivos
DETAILS_40	Frt. vs Lycans
DETAILS_41	Def. vs Guerreiros
DETAILS_42	Def. vs Ninjas
DETAILS_43	Def. vs Suras
DETAILS_44	Def. vs Xamãs
DETAILS_45	Def. vs Lycans
DETAILS_46	Def. vs Espadas
DETAILS_47	Def. vs Duas-Mãos
DETAILS_48	Def. vs Punhais
DETAILS_49	Def. vs Garras
DETAILS_5	Frt. vs Monstros
DETAILS_50	Def. vs Campainhas
DETAILS_51	Def. vs Leques
DETAILS_52	Def. vs Flechas
DETAILS_53	Prob. Atordoamento
DETAILS_54	Prob. Abrandamento
DETAILS_55	Prob. Envenenamento
DETAILS_56	Res. a Veneno
DETAILS_57	Atq. de Sangramento
DETAILS_58	Res. Atq. Sangr.
DETAILS_59	Roubo de VD
DETAILS_6	Frt. vs Mon. Zodíaco
DETAILS_60	Roubo de MN
DETAILS_61	Recuperação de VD
DETAILS_62	Recuperação de MN
DETAILS_63	Bloqueio de Ataque
DETAILS_64	Evasão Atq. Flecha
DETAILS_65	Reflectir Ataque CaC
DETAILS_66	Recup. VD com Morte
DETAILS_67	Recup. MN com Morte
DETAILS_68	EXP a Dobrar
DETAILS_69	Yang a Dobrar
DETAILS_7	Frt. vs Animais
DETAILS_70	Prob. Queda Itens
DETAILS_71	Valor de Ataque
DETAILS_72	Valor de Defesa
DETAILS_73	EXP
DETAILS_74	Prob. Queda Itens
DETAILS_75	Yang a Dobrar
DETAILS_76	Resistência Mágica
DETAILS_77	Anti-Magia
DETAILS_8	Frt. vs Esotéricos
DETAILS_9	Frt. vs Demónios
DETAILS_ATTBONUS_BELL	Ruptura de Campainha
DETAILS_ATTBONUS_BOW	Ruptura de Flecha
DETAILS_ATTBONUS_CLAW	Ruptura de Garra
DETAILS_ATTBONUS_DAGGER	Ruptura de Punhais
DETAILS_ATTBONUS_FAN	Ruptura de Leque
DETAILS_ATTBONUS_SWORD	Ruptura de Espada
DETAILS_ATTBONUS_TWOHAND	Ruptura de Duas Mãos
DETAILS_CATE_1	Dano/Defesa
DETAILS_CATE_2	Bónus de Elementos
DETAILS_CATE_3	Bónus de Classe
DETAILS_CATE_4	Bónus de Arma
DETAILS_CATE_5	Outros Bónus
DETAILS_CATE_6	Bónus Especial
DETAILS_HIT_PCT	Precisão
DETAILS_RESIST_MOUNT_FALL	Resistência a Queda
DETAILS_TITLE	Detalhes
DETAILS_TOOLTIP_0	Forte contra Pedras Metin: inflige mais dano a Pedras Metin.
DETAILS_TOOLTIP_1	Forte contra Semi-Humanos: inflige mais dano a Semi-Humanos.
DETAILS_TOOLTIP_10	Forte contra Monstros do Deserto: inflige mais dano a monstros do deserto.
DETAILS_TOOLTIP_11	Forte contra Insectos: inflige mais dano a insectos.
DETAILS_TOOLTIP_12	Aumenta o teu Valor de Ataque.
DETAILS_TOOLTIP_13	Aumenta o teu Valor de Defesa.
DETAILS_TOOLTIP_14	Aumenta o dano médio que infliges a inimigos com um ataque.
DETAILS_TOOLTIP_15	Resistência a Dano Médio: reduz o dano que sofres com um ataque.
DETAILS_TOOLTIP_16	Aumenta o dano infligido por uma habilidade.
