DETAILS_0	Tare vs Metin
DETAILS_1	Tare vs Jumãtate-Om
DETAILS_10	Tare vs Mon. Deºert
DETAILS_11	Tare vs Insecte
DETAILS_12	Valoarea Atacului
DETAILS_13	Valoarea Apãrãrii
DETAILS_14	Pagubã Medie
DETAILS_15	Rezist. Pagubã Medie
DETAILS_16	Pagubã Abilitate
DETAILS_17	Rezistent Pagubã Abilitate
DETAILS_18	Atac Fizic/Magic
DETAILS_19	Atac Magic
DETAILS_2	Rezist la Jumãt.-Om
DETAILS_20	ªansã Lovit. Criticã
DETAILS_21	Loviturã Pãtrunzãt.
DETAILS_22	Rezist Lovit. Crit.
DETAILS_23	Rezist Lov. Pãtrunz.
DETAILS_24	Rezist. la Fulger
DETAILS_25	Rezist. la Gheaþã
DETAILS_26	Rezist. la Întuneric
DETAILS_27	Rezist. la Foc
DETAILS_28	Rezist. la Vânt
DETAILS_29	Rezist. la Pãmânt
DETAILS_3	Tare vs Orci
DETAILS_30	Puterea Fulgerului
DETAILS_31	Puterea Gheþii
DETAILS_32	Puterea Întunecatã
DETAILS_33	Puterea Focului
DETAILS_34	Puterea Vântului
DETAILS_35	Puterea Pãmântului
DETAILS_36	Tare vs Rãzboinic
DETAILS_37	Tare vs Ninja
DETAILS_38	Tare vs Sura
DETAILS_39	Tare vs ªaman
DETAILS_4	Tare vs Vampir
DETAILS_40	Tare vs Lycan
DETAILS_41	Apãrare vs Rãzboinic
DETAILS_42	Apãrare vs Ninja
DETAILS_43	Apãrare vs Sura
DETAILS_44	Apãrare vs ªaman
DETAILS_45	Apãrare vs Lycan
DETAILS_46	Apãrare Sabie
DETAILS_47	Apãrare Douã Mâini
DETAILS_48	Apãrare Pumnal
DETAILS_49	Apãrare Ghearã
DETAILS_5	Tare vs Monstru
DETAILS_50	Apãrare Clopot
DETAILS_51	Apãrare Evantai
DETAILS_52	Apãrare Sãgeatã
DETAILS_53	ªansã de Confuzie
DETAILS_54	ªansã de Încetinire
DETAILS_55	ªansã de Otrãvire
DETAILS_56	Rezistenþã la Otravã
DETAILS_57	Atac Sângeros
DETAILS_58	Rez. Atac Sângeros
DETAILS_59	Furã PV
DETAILS_6	Tare vs Monst Zodiac
