DETAILS_0	Сила пр. метинов
DETAILS_1	Сила пр. полулюдей
DETAILS_10	Сила пр монстр.пуст.
DETAILS_11	Сила пр. насекомых
DETAILS_12	Показатель атаки
DETAILS_13	Показатель защиты
DETAILS_14	Средн. уровень урона
DETAILS_15	Сопр ср. ур-ню урона
DETAILS_16	Урон от навыков
DETAILS_17	Сопротивл. урону навыков
DETAILS_18	Магич./физич. атака
DETAILS_19	Магическая атака
DETAILS_2	Сопр. полулюдям
DETAILS_20	Шанс крит. удара
DETAILS_21	Пронз. удар
DETAILS_22	Сопр. крит. удару
DETAILS_23	Сопр. пронз. удару
DETAILS_24	Сопр-ть молниям
DETAILS_25	Сопр-ть льду
DETAILS_26	Сопр-ть тьме
DETAILS_27	Сопр-ть огню
DETAILS_28	Сопр-ть ветру
DETAILS_29	Сопр-ть земле
DETAILS_3	Сила против орков
DETAILS_30	Сила молний
DETAILS_31	Сила льда
DETAILS_32	Сила тьмы
DETAILS_33	Сила огня
DETAILS_34	Сила ветра
DETAILS_35	Сила земли
DETAILS_36	Сила против Воинов
DETAILS_37	Сила против Ниндзя
DETAILS_38	Сила против Сур
DETAILS_39	Сила против Шаманов
DETAILS_4	Сила против нежити
DETAILS_40	Сила против Ликанов
DETAILS_41	Защита против Воинов
DETAILS_42	Защита против Ниндзя
DETAILS_43	Защита против Сур
DETAILS_44	Защита пр. Шаманов
DETAILS_45	Защита пр. Ликанов
DETAILS_46	Защита от уд. мечом
DETAILS_47	Защ. от двуруч.оруж.
DETAILS_48	Защ. от удара кинж.
DETAILS_49	Защита от когтей
DETAILS_5	Сила против монстров
DETAILS_50	Защ. от удара колок.
DETAILS_51	Защ. от удара веером
DETAILS_52	Защита от стрел
DETAILS_53	Шанс на головокруж.
DETAILS_54	Шанс на замедление
DETAILS_55	Шанс на отравление
DETAILS_56	Сопр-ть яду
DETAILS_57	Атака с кровотеч.
DETAILS_58	Сопр. ат. с кровотеч
DETAILS_59	Кража жизни
DETAILS_6	Сила пр. зодиак-мон.
DETAILS_60	Кража МП
DETAILS_61	Восстановление ХП
DETAILS_62	Восстановление МП
DETAILS_63	Блокировать атаку
DETAILS_64	Уклониться от стрел
DETAILS_65	Отражение физ. атаки
DETAILS_66	Восст ХП при убийст.
DETAILS_67	Восст МП при убийст.
