DETAILS_0	Metine karþý güçlü
DETAILS_1	Yr. insanl. krþ. gç.
DETAILS_10	Çöl cana. krþ. güçlü
DETAILS_11	Böcekl. karþý güçlü
DETAILS_12	Saldýrý deðeri
DETAILS_13	Savunma deðeri
DETAILS_14	Ortalama hasar
DETAILS_15	Ortl. hasar direnci
DETAILS_16	Beceri hasarý
DETAILS_17	Dayanýklýlýk beceri hsr.
DETAILS_18	Büyü/yakýn sav. sal.
DETAILS_19	Büyü saldýrýsý
DETAILS_2	Yarý insan direnci
DETAILS_20	Krit. isabet þansý
DETAILS_21	Delici isabet
DETAILS_22	Kritik vuruþ direnci
DETAILS_23	Del. isabet direnci
DETAILS_24	Þimþek direnci
DETAILS_25	Buz direnci
DETAILS_26	Karanlýða kr. direnç
DETAILS_27	Ateþe karþý direnç
DETAILS_28	Rüzgara karþý direnç
DETAILS_29	Toprak direnci
DETAILS_3	Orklara karþý güçlü
DETAILS_30	Þimþeklerin gücü
DETAILS_31	Buzun gücü
DETAILS_32	Karanlýðýn gücü
DETAILS_33	Ateþin gücü
DETAILS_34	Rüzgarýn gücü
DETAILS_35	Topraðýn gücü
DETAILS_36	Savaþçý. krþ. güçlü
DETAILS_37	Ninjal. krþ. güçlü
DETAILS_38	Suralara karþý güçlü
DETAILS_39	Þamanl. karþý güçlü
DETAILS_4	Ölümsüz. karþý güçlü
DETAILS_40	Lycanl. karþý güçlü
DETAILS_41	Savaþçýl. krþ. sav.
DETAILS_42	Ninjal. karþý savun.
DETAILS_43	Sural. karþý savunma
DETAILS_44	Þamanlara karþý sav.
DETAILS_45	Lycan. karþý savunma
DETAILS_46	Kýlýç savunmasý
DETAILS_47	Çift el savunmasý
DETAILS_48	Hançer savunmasý
DETAILS_49	Pençe savunmasý
DETAILS_5	Canavarl. krþ. güçlü
DETAILS_50	Çan savunmasý
DETAILS_51	Yelpaze savunmasý
DETAILS_52	Ok savunmasý
DETAILS_53	Bayýlma olasýlýðý
DETAILS_54	Yavaþlama þansý
DETAILS_55	Zehirlenme olasýlýðý
DETAILS_56	Zehir direnci
DETAILS_57	Kanama saldýrýsý
DETAILS_58	Kanama saldýr. dir.
DETAILS_59	Hayat yaðmasý
DETAILS_6	Zod. canv. krþ. güç.
DETAILS_60	SP yaðmasý
DETAILS_61	HP yükleme
DETAILS_62	SP yükleme
DETAILS_63	Saldýrý engelleme
